5T	M0	[10.076206604572402, 3.6439407414936564, 15.330678975370837, 6.490328979996685, 4.933746062778321, 7.163597311165026, 8.17292150351192, 14.556321839080466, 8.428947499130789, 2.8719980193117056, 0.12602901348779394, 9.706966526417693, 11.317997135424275, 9.654003463650106, 10.069778633301251, 10.282653481664617, 7.112401903231791, 11.40482928885409, 16.02353528213232, 9.503841711444782, 10.118421052631588, 10.982086596453321, 11.216632443531838, 8.874768557481904, 13.745221936188479]
5T	M1	[11.53775356183042, 3.7201738113993743, 17.05013917761884, 9.234584228798148, 5.053220375801026, 9.68537448788831, 8.62844211949334, 15.898850574712654, 8.607758406596133, 4.4565486506561, 0.10189579813906224, 9.323453848158758, 14.3813393353015, 13.088175688124103, 10.38658966955406, 16.22908941079522, 7.2916022987085105, 10.814716685734926, 16.20233689550501, 11.198714407673371, 10.319078947368432, 11.240135625768888, 11.668377823408616, 11.353307523985867, 14.341992355097899]
5T	M2	[11.592975739056799, 3.7964068813051144, 17.314400479193836, 9.234584228798148, 3.5299228847615938, 9.888230380653118, 8.663708231698353, 15.751724137931046, 8.610241891422032, 4.611852618785028, 0.17697691255731396, 10.004840451279007, 12.519365116482994, 12.64969232469877, 10.450753930060962, 16.003296250515042, 6.2472965457578855, 11.20009634491479, 16.20233689550501, 11.469894039069949, 10.023026315789462, 11.063101989377987, 11.91478439425051, 11.740447736071369, 14.470707543490136]
5T	M3	[9.939991900747348, 3.516885624984112, 15.76406750995385, 8.778310464539585, 4.377104377104368, 9.68537448788831, 8.745995826843389, 15.941762452107277, 9.352803854368453, 4.8526863084922045, 0.10189579813906224, 8.299512231448048, 13.568735202127979, 12.64969232469877, 10.374558870709016, 15.390193654717766, 4.344064759315325, 10.814716685734926, 16.02353528213232, 11.058102746949228, 10.023026315789462, 12.308338584331025, 9.722792607802866, 11.176569601077269, 14.384897417895303]
5T	M4	[11.52670912638516, 3.7455848347012877, 17.381346675592834, 9.234584228798148, 4.933746062778321, 7.613062328467435, 8.728362770740873, 15.285823754789263, 7.7882084140465935, 3.4999662382678043, 0.10189579813906224, 9.546859291804743, 11.317997135424275, 13.088175688124103, 10.069778633301251, 15.98516687268232, 6.531545448927889, 8.105015957126515, 15.89255270489418, 10.257118465324154, 10.023026315789462, 10.513997659555319, 11.812114989733068, 11.328059249284639, 13.94024494890398]
10T	M0	[16.312281815296735, 17.676211453744493, 23.05871971763196, 21.96010740314538, 27.78988468173975, 16.77060212098791, 27.324964941683483, 10.656178376390034, 16.80517403247679, 27.193060630365686, 28.116141224980673, 9.530381588272597, 11.57678655433434, 15.005744925315966, 14.404846756949397, 10.542137016249399, 11.192930780559651, 17.507924896366745, 12.472503299604053, 25.80717632710701, 17.098272564437302, 22.791641481737337, 26.951960242959693, 18.89786921381338, 14.874895746455374]
10T	M1	[15.822641338350628, 19.22540381791482, 21.370126744745697, 23.05879774234205, 28.466357940615627, 18.165803473910437, 28.888052809795806, 10.61656433038114, 16.662609965576003, 28.95166800344593, 30.20788592045356, 11.611772166063638, 16.25112261044348, 18.671007276905407, 17.761938702779755, 11.704609951441004, 14.29491899852724, 24.932943184589117, 19.366476022877244, 30.714423262083578, 17.6356294969489, 25.347552024868314, 30.16565433462175, 21.992652461425433, 20.154295246038355]
10T	M2	[16.407489685814024, 18.883994126284875, 21.233755815819034, 23.60129322154638, 27.739943702896586, 18.525173519360184, 28.74781954372885, 10.441130698056078, 17.246774922632913, 26.598936517838577, 29.8556825015033, 11.7087545227349, 16.494889449600137, 18.529299119111453, 18.453314326443326, 10.405499148640974, 14.626288659793808, 26.456961716654483, 18.69115706115265, 27.83554785287887, 17.447402774826195, 23.953026508937047, 31.225842076201005, 21.05804555473916, 18.748957464553783]
10T	M3	[16.489096431971717, 18.790381791483114, 22.380875982672865, 23.491698175242483, 27.317715427222367, 17.492865447627093, 28.6623114546636, 10.228912594437055, 15.904586390347376, 27.730742952202725, 28.330899407267406, 8.195009138722064, 13.715092160971643, 18.693986978169285, 16.721311475409827, 11.248449685732908, 14.796575846833582, 25.048768593026093, 18.556973163220402, 29.62642018101289, 18.26709979052188, 24.902858129695193, 28.928768636112643, 21.190301249081568, 17.61050875729775]
10T	M4	[14.99750646053406, 16.857562408223203, 22.336755976255418, 21.894350375363025, 27.862526105511677, 16.957333615192184, 27.646475356568722, 9.793158088339315, 15.379533363468823, 27.050470843359186, 26.43673223949832, 10.936625760005958, 11.722191335585673, 17.30754500191498, 16.48253741981469, 10.39709066448047, 11.390832106038285, 21.9031943428432, 15.200175978882523, 24.15110084087553, 17.56580345487113, 21.854762110353153, 30.22087244616234, 20.767083027185883, 16.82652210175146]
