5T	M0	[11.531783103942871, 57.683610916137695, 58.159138917922974, 11.427448034286499, 211.67530798912048, 8.881580114364624, 279.748507976532, 17.989239931106567, 57.552403926849365, 7.587574005126953, 66.1004810333252, 4.505846977233887, 88.73269391059875, 57.80292105674744, 10.345128059387207, 144.1708378791809, 157.8011350631714, 100.19448590278625, 15.985216856002808, 163.89292693138123, 148.35574316978455, 22.43912696838379, 5.352511882781982, 57.430768966674805, 19.294811010360718]
5T	M1	[3.086031913757324, 16.668308973312378, 57.68459701538086, 1.6196460723876953, 5.361219167709351, 126.02794003486633, 3.8632938861846924, 4.406389951705933, 10.256801128387451, 13.988626956939697, 6.332795858383179, 4.912106990814209, 6.116930961608887, 4.393182992935181, 1.6955959796905518, 5.93171501159668, 5.934244871139526, 1.7399239540100098, 3.867760181427002, 219.831778049469, 35.513603925704956, 7.200768947601318, 19.42220401763916, 25.79560399055481, 1.0325770378112793]
5T	M2	[7.690927982330322, 52.751067876815796, 208.74704885482788, 3.993936061859131, 4.456336975097656, 4.494179010391235, 21.079370975494385, 273.61821722984314, 22.224793910980225, 82.17419910430908, 59.14680814743042, 6.817371845245361, 36.33349299430847, 2.7659189701080322, 3.147735118865967, 25.4236261844635, 36.0054190158844, 152.2329261302948, 21.095427989959717, 31.355116844177246, 3.2508020401000977, 50.613516092300415, 184.05438613891602, 30.42222309112549, 97.39146900177002]
5T	M3	[11.995790004730225, 42.64518690109253, 12.048693180084229, 13.033293962478638, 18.80516290664673, 2.6168270111083984, 2.22837495803833, 6.584959983825684, 2.7349090576171875, 11.837568998336792, 3.2014501094818115, 1.019373893737793, 8.29589319229126, 59.375625133514404, 280.8018391132355, 3.600227117538452, 7.394212961196899, 2.1623079776763916, 9.598359107971191, 31.130869150161743, 1.9300060272216797, 12.464869022369385, 7.6796159744262695, 117.12337112426758, 168.8309600353241]
5T	M4	[86.8770399093628, 67.85998797416687, 138.77929210662842, 5.870938062667847, 120.32405304908752, 4.839238166809082, 10.21760606765747, 15.976703882217407, 19.977632999420166, 5.520845890045166, 8.036054134368896, 10.407810926437378, 35.51179003715515, 32.51563119888306, 2.166404962539673, 9.160820007324219, 21.19794201850891, 4.0340211391448975, 54.33788204193115, 70.1682288646698, 4.884977102279663, 4.804816007614136, 189.8261170387268, 45.03351306915283, 15.27163815498352]
10T	M0	[98.08092212677002, 296.70339798927307, 230.83080410957336, 121.53046298027039, 246.8301739692688, 59.74636912345886, 62.69624400138855, 113.3341908454895, 263.2905809879303, 78.06099104881287, 238.2332079410553, 233.81708598136902, 242.8057188987732, 168.66385889053345, 17.79051923751831, 185.90079998970032, 118.26046109199524, 18.29279398918152, 124.68330502510071, 36.42032790184021, 195.49844908714294, 193.82119393348694, 33.1451690196991, 52.488616943359375, 219.1524839401245]
10T	M1	[14.441987991333008, 90.20748400688171, 102.07177805900574, 82.49094295501709, 171.10906791687012, 12.559061050415039, 3.778236150741577, 44.79635310173035, 9.529372930526733, 18.597043991088867, 16.749741077423096, 119.16846799850464, 52.46955704689026, 257.43081879615784, 132.7812340259552, 205.04203605651855, 120.6594979763031, 7.552670955657959, 33.005314111709595, 13.076334953308105, 79.40495204925537, 9.852374076843262, 5.8953328132629395, 49.21969509124756, 159.40241289138794]
10T	M2	[266.1301701068878, 75.48998785018921, 264.2481451034546, 147.44570112228394, 79.67329120635986, 18.24857997894287, 22.22624111175537, 23.622424840927124, 115.99223899841309, 56.55318593978882, 12.853776931762695, 221.52601194381714, 111.00472092628479, 91.36356496810913, 263.5446820259094, 9.922019958496094, 18.548290967941284, 16.58326482772827, 256.6576189994812, 25.974833011627197, 102.48818397521973, 167.44083404541016, 69.02695608139038, 8.863543033599854, 106.2065041065216]
10T	M3	[136.91238808631897, 50.51399898529053, 80.72125601768494, 43.946102142333984, 39.509318113327026, 170.52729201316833, 265.11419701576233, 105.66544008255005, 30.739400148391724, 30.85629391670227, 5.245793104171753, 3.0088818073272705, 21.96520686149597, 3.8925681114196777, 20.223767042160034, 47.486799001693726, 33.349173069000244, 10.078622102737427, 52.10802698135376, 68.05817198753357, 15.389863967895508, 36.306751012802124, 35.15171194076538, 108.82186198234558, 111.6250970363617]
10T	M4	[48.49883794784546, 19.492473125457764, 92.29308605194092, 269.65172290802, 64.75735211372375, 21.14992380142212, 67.52474784851074, 275.0420560836792, 123.81949210166931, 284.8205828666687, 12.885218858718872, 158.95224618911743, 16.718417167663574, 197.34423398971558, 115.06310510635376, 147.94562911987305, 230.82961916923523, 40.99714207649231, 125.91850280761719, 80.54061317443848, 87.37759613990784, 255.16321921348572, 77.68957710266113, 70.84502696990967, 50.95021414756775]
